sample_origin,repo,test_id,framework,line,name,raw_code,value_summary,input_source_class,input_plausibility,input_plausibility_paper_label,value_visibility,input_channel,field_context,input_target_role_ast,input_target_context_ast,input_value_expression_kind_ast,input_endpoint_construction_ast,input_origin_kind,input_origin_evidence,external_file_path,field_path,linked_definition_file,linked_definition_line,input_evidence_basis,review_reason,manual_source_ok,manual_plausibility_ok,manual_plausibility_should_be,manual_notes
all_events_stratified,digital-go-jp/design-system-example-components-react,48735b1808c53e1ed2d5865294c08680,Playwright,143,"input:setInputFiles:{ name: 'test.png', mimeType: 'image/png', buffer: Buffer.from('fake image content'), }","fileInput.setInputFiles({
        name: 'test.png',
        mimeType: 'image/png',
        buffer: Buffer.from('fake image content'),
      })",mimeType=image/png,file_upload_input,placeholder_or_dummy_input,placeholder_or_dummy_input,visible,ui_file_upload,,file_upload_field,,object_literal,,,,,,,,ast_value_argument,,correct,incorrect,domain_plausible_input,File upload path/object is realistic domain input.
all_events_stratified,ohcnetwork/care_fe,38c5442a59eeee79fbbe4c19e1399004,Playwright,167,input:setInputFiles:invalidFilePath,fileInput.setInputFiles(invalidFilePath),invalidFilePath,file_upload_input,validation_or_edge_case_input,validation_or_edge_case_input,opaque,ui_file_upload,,file_upload_field,,identifier,,,,,,,,ast_value_argument,,correct,correct,n/a,Source and plausibility labels are acceptable.
all_events_stratified,payloadcms/payload,9a625b3ac659903df1d713dcdf5fb7ca,Playwright,1443,"input:setInputFiles:{ name: 'exceed-limit-test.csv', buffer: Buffer.from(csvFile), mimeType: 'text/csv', }","fileInput.setInputFiles({
        name: 'exceed-limit-test.csv',
        buffer: Buffer.from(csvFile),
        mimeType: 'text/csv',
      })",mimeType=text/csv,file_upload_input,validation_or_edge_case_input,validation_or_edge_case_input,visible,ui_file_upload,,file_upload_field,,object_literal,,,,,,,,ast_value_argument,,correct,correct,n/a,Source and plausibility labels are acceptable.
all_events_stratified,payloadcms/payload,951888de941de860231a20cc1cf69115,Playwright,1633,"input:setInputFiles:[ path.resolve(dirname, './image.png'), path.resolve(dirname, './2mb.jpg'), // This file exceeds the 2MB limit path.reso…","bulkUploadModal.locator('.dropzone input[type=""file""]').setInputFiles([
        path.resolve(dirname, './image.png'),
        path.resolve(dirname, './2mb.jpg'), // This file exceeds the 2MB limit
        path.resolve(dirname, './small.png'),
      ])","[ path.resolve(dirname, './image.png'), path.resolve(dirname, './2mb.jpg'), // This file exceeds the 2MB limit path.reso…",file_upload_input,validation_or_edge_case_input,validation_or_edge_case_input,visible,ui_file_upload,"dropzone input[type=""file""]",file_upload_field,".dropzone input[type=""file""]",array_literal,,,,,,,,ast_value_argument,,correct,correct,n/a,Source and plausibility labels are acceptable.
all_events_stratified,linode/manager,08f5496dbba41d80104f4a97cb5f07e6,Cypress,61,input:type:mockSSHKey.label,cy.focused().type(mockSSHKey.label),mockSSHKey.label,generated_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,,unknown,,member_expression,,factory_build_member,"sshKeyFactory.build({
      label: randomLabel(),
      ssh_key: `ssh-rsa e2etestkey${randomKey} e2etest@linode`,
    })",,,packages/manager/cypress/e2e/core/account/ssh-keys.spec.ts,196,ast_factory_call,,correct,correct,n/a,Source and plausibility labels are acceptable.
all_events_stratified,linode/manager,b7e056604cf6defcedd135fe3b0aac33,Cypress,28,input:type:linode.label,ui.mainSearch.find().type(linode.label),linode.label,generated_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,,unknown,,member_expression,,factory_build_member,linodeFactory.build({ interface_generation: 'linode' }),,,packages/manager/cypress/e2e/core/linodes/linode-network.spec.ts,828,ast_factory_call,,correct,correct,n/a,Source and plausibility labels are acceptable.
all_events_stratified,linode/manager,038004bc4ed8bedeb7f11975630f0301,Cypress,114,input:type:mockSubnet.label,cy.focused().type(mockSubnet.label),mockSubnet.label,generated_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,,unknown,,member_expression,,factory_build_member,"subnetFactory.build({
      id: randomNumber(),
      ipv4: '10.0.0.0/24',
      label: randomLabel(),
      linodes: [],
    })",,,packages/manager/cypress/e2e/core/linodes/create-linode-with-vpc.spec.ts,927,ast_factory_call,,correct,correct,n/a,Source and plausibility labels are acceptable.
all_events_stratified,linode/manager,08f5496dbba41d80104f4a97cb5f07e6,Cypress,108,input:type:mockSSHKey.label,cy.focused().type(mockSSHKey.label),mockSSHKey.label,generated_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,,unknown,,member_expression,,factory_build_member,"sshKeyFactory.build({
      label: randomLabel(),
      ssh_key: `ssh-rsa e2etestkey${randomKey} e2etest@linode`,
    })",,,packages/manager/cypress/e2e/core/account/ssh-keys.spec.ts,196,ast_factory_call,,correct,correct,n/a,Source and plausibility labels are acceptable.
all_events_stratified,linode/manager,b5b1ada504738ed8de5f7c60f8cde509,Cypress,180,input:type:newVolume.label,cy.focused().type(newVolume.label),newVolume.label,generated_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,,unknown,,member_expression,,factory_build_member,"volumeFactory.build({
      label: randomLabel(),
      region: mockRegion.id,
    })",,,packages/manager/cypress/e2e/core/volumes/create-volume.smoke.spec.ts,297,ast_factory_call,,correct,correct,n/a,Source and plausibility labels are acceptable.
all_events_stratified,linode/manager,706a72f3f661a1510c898c9b99d0e541,Cypress,250,input:type:mockRegion.label,ui.autocomplete.findByLabel('Region').type(mockRegion.label),mockRegion.label,generated_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,Region,unknown,Region,member_expression,,factory_build_member,"regionFactory.build({
        capabilities: ['Managed Databases'],
      })",,,packages/manager/cypress/e2e/core/cloudpulse/aclp-support.spec.ts,193,ast_factory_call,,correct,correct,n/a,Source and plausibility labels are acceptable.
